symbol,name,market,current_price,sar,confidence_factors,rsi,macd,volume_ratio,long_signal_price,long_signal_confidence,entry_opportunity,entry_advice,confidence_score,confidence_level,long_days,latest_signal_date,latest_signal_price,signal_conditions,current_date,distance_to_signal,price_change_since_signal,trend_reversal_confirmation,reversal_strength,reversal_reliability,short_term_momentum_turn,price_structure_reversal,bps_short_put,bps_long_put,bps_expiry,bps_safety_margin,expected_move_1sd,earnings_date,days_to_earnings,earnings_high_risk,status,composite_score
FXI,iShares China Large-Cap ETF,US,39.61000061035156,38.999487586021424,"['MACD為正', 'MACD柱狀圖為正', 'SAR翻多且趨勢向上', 'OBV突破均線', '成交量適中', 'ADX趨勢不明', '均線多頭排列', '價格通道向上', '成交量配合良好', '動量加速', '所有指標斜率向上', '上漲動能良好', '波動率低', '支撐位可靠', '趨勢反轉初步確認', '反轉強度強勁', '反轉可信度極高', '價格結構反轉', '良好進場時機', '接近近期低點', '測試關鍵支撐位', 'MACD強勢多頭', '均線黃金交叉', '布林通道理想位置', '錘子線形態', '錘子線形態', '接近關鍵支撐位', '上升底部結構', '溫和放量', '成交量多頭排列', '多時間框架強烈看多，建議積極進場', '月線趨勢良好，適合中長期持有', '週線支持上漲，中期看好', '日線短期強勢，進場時機良好', '多時間框架高度一致', '多重多頭訊號確認', '接近抄底價位']",52.090048916429936,0.2590832604247879,1.4353324846148676,39.439998626708984,100,強烈推薦進場,強烈推薦進場,87.0,極高,0.0,2026-01-30,39.61000061035156,"['均線多頭排列', '價格通道向上', '動量加速', '指標斜率向上', '上漲動能延續', '反轉可信度高', '價格結構反轉']",2026-01-30,0.4310395272870315,0.0,60.0,65.0,90.0,45.0,55.0,36.5,31.5,2026-03-04,7.85,2.92,,,False,,97.27068814181389
AAPL,Apple Inc.,US,259.4800109863281,246.34448909554482,"['MACD柱狀圖為正', 'SAR翻多且趨勢向上', 'OBV突破均線且斜率為正', '成交量放大', '價格在20日均線之上', '價格在5日均線之上', '短期和中期動量均為正', 'ADX趨勢不明', '均線排列不佳', '成交量配合良好', '動量強勁加速', '所有指標斜率向上', '上漲動能強勁', '趨勢反轉初步確認', '反轉強度強勁', '反轉可信度高', '價格結構完美反轉', '適當進場時機', '放量上漲', '測試關鍵支撐位', 'RSI健康上升', 'MACD強勢多頭', '錘子線形態', '接近關鍵支撐位', '上升底部結構', '接近突破阻力', '明顯放量', '價漲量增良好配合', '成交量多頭排列', '多時間框架強烈看多，建議積極進場', '月線趨勢良好，適合中長期持有', '日線短期強勢，進場時機良好', '多時間框架較為一致', '多重多頭訊號確認', '成交量確認', '接近抄底價位']",50.16623735466336,-3.62047040413006,1.7761370635328555,255.41000366210938,70,強烈推薦進場,強烈推薦進場,85.5,極高,1.0,2026-01-29,258.2799987792969,"['動量加速', '指標斜率向上', '上漲動能延續', '反轉可信度高', '價格結構反轉']",2026-01-30,1.5935191518978646,0.46461677741321106,60.0,65.0,75.0,45.0,85.0,235.5,230.5,2026-03-04,9.24,23.71,,,False,,95.37194425443064
DIS,The Walt Disney Company,US,112.80000305175781,112.99191501334228,"['RSI從超賣區反轉', 'MACD為正', 'OBV突破均線且斜率為正', '成交量放大', '價格在20日均線之上', '價格在5日均線之上', 'ADX趨勢不明', '均線排列不佳', '成交量配合良好', '動量強勁加速', '相對強度為正', '波動率低', '支撐位可靠', '趨勢反轉確認', '反轉可信度高', '適當進場時機', '放量上漲', '測試關鍵支撐位', '強勢長紅K', '接近關鍵支撐位', '底部抬升', '接近突破阻力', '明顯放量', '價漲量增良好配合', '成交量多頭排列', '多時間框架強烈看多，建議積極進場', '月線趨勢良好，適合中長期持有', '週線支持上漲，中期看好', '多時間框架較為一致', '多重多頭訊號確認', '成交量確認', 'RSI+MACD同步', '接近抄底價位']",41.13925578712494,0.011397791946066604,1.7615337168216583,112.70333328247071,70,強烈推薦進場,強烈推薦進場,81.0,極高,1.0,2026-01-29,111.58000183105469,"['OBV突破均線', '動量加速', '相對強度為正', '趨勢反轉確認', '反轉可信度高']",2026-01-30,0.08577365590848873,1.0933869875269862,70.0,40.0,75.0,30.0,45.0,103.0,98.0,2026-03-04,8.69,9.76,,,False,,94.92426790322746
F,Ford Motor Company,US,13.880000114440918,14.3104689703636,"['RSI從超賣區反轉', 'MACD為正', '價格在20日均線之上', '價格在5日均線之上', '短期和中期動量均為正', 'ADX趨勢不明', '均線多頭排列', '成交量配合良好', '動量加速', '相對強度為正', '支撐位可靠', '趨勢反轉確認', '反轉強度強勁', '短期動能未轉折', '價格結構完美反轉', '測試關鍵支撐位', 'RSI健康上升', '完美多頭排列', '錘子線形態', '接近關鍵支撐位', '上升底部結構', '接近突破阻力', '多時間框架強烈看多，建議積極進場', '月線趨勢良好，適合中長期持有', '週線支持上漲，中期看好', '日線短期強勢，進場時機良好', '多時間框架高度一致', '多重多頭訊號確認', 'RSI+MACD同步', '接近抄底價位']",43.93940707538786,0.10426719481344726,1.0305623045803718,13.625,85,強烈推薦進場,強烈推薦進場,82.5,極高,1.0,2026-01-29,14.0,"['OBV突破均線', '均線多頭排列', '動量加速', '相對強度為正', '趨勢反轉確認', '價格結構反轉']",2026-01-30,1.871560472960866,-0.8571420397077287,65.0,65.0,60.0,20.0,85.0,12.5,7.5,2026-03-04,9.94,1.33,,,False,,94.68853185811174
QQQ,Invesco QQQ Trust,US,621.8699951171875,610.4949482574463,"['RSI從超賣區反轉', 'MACD為正', 'MACD柱狀圖為正', 'SAR翻多且趨勢向上', '成交量適中', 'ADX趨勢不明', '均線完美多頭排列', '價格通道向上', '成交量配合不佳', '相對強度為正', '波動率低', '支撐位可靠', '趨勢反轉初步確認', '反轉可信度高', '短期動能未轉折', '價格結構反轉', '良好進場時機', '接近近期低點', '測試關鍵支撐位', 'MACD強勢多頭', '均線黃金交叉', '布林通道理想位置', '錘子線形態', '接近關鍵支撐位', '底部抬升', '溫和放量', '成交量短期放大', '多時間框架強烈看多，建議積極進場', '月線趨勢良好，適合中長期持有', '週線支持上漲，中期看好', '日線短期強勢，進場時機良好', '多時間框架高度一致', '多重多頭訊號確認', 'RSI+MACD同步', '接近抄底價位']",46.05607984932569,2.3429485657618443,1.2070982600299929,620.6189860026042,85,強烈推薦進場,強烈推薦進場,76.5,高,1.0,2026-01-29,629.4299926757812,"['均線多頭排列', '價格通道向上', '指標斜率向上', '相對強度為正', '反轉可信度高', '價格結構反轉']",2026-01-30,0.2015744188944417,-1.2010863235886342,50.0,50.0,80.0,0.0,55.0,580.0,575.0,2026-03-04,6.73,41.39,,,False,,93.98952767433167
EEM,iShares MSCI Emerging Markets ETF,US,59.099998474121094,60.95000076293945,"['RSI偏高', 'MACD為正', 'MACD柱狀圖為正', '成交量放大', '價格在20日均線之上', '短期和中期動量均為正', 'ADX趨勢不明', '均線完美多頭排列', '價格通道強勢向上', '成交量配合良好', '相對強度強勁', '支撐位良好', '趨勢反轉初步確認', '反轉強度強勁', '反轉可信度高', '短期動能未轉折', '價格結構反轉', '低波動風險', '適當進場時機', '接近近期低點', '放量下跌', '測試關鍵支撐位', 'MACD強勢多頭', '均線黃金交叉', '強勢長紅K', '錘子線形態', '接近關鍵支撐位', '明顯放量', '成交量多頭排列', '多時間框架強烈看多，建議積極進場', '月線趨勢良好，適合中長期持有', '週線支持上漲，中期看好', '日線短期強勢，進場時機良好', '多時間框架高度一致', '單一多頭訊號', '接近抄底價位']",62.76041019914904,1.3122283373601036,1.7322202139499856,58.83000183105469,55,強烈推薦進場,強烈推薦進場,60.0,高,0.0,2026-01-30,59.099998474121094,"['均線多頭排列', '價格通道向上', '相對強度為正', '反轉可信度高', '價格結構反轉']",2026-01-30,0.45894379510945843,0.0,50.0,70.0,75.0,0.0,55.0,56.0,51.0,2026-03-04,5.25,3.02,,,False,,91.86231686146716
AMZN,"Amazon.com, Inc.",US,239.3000030517578,228.8503404042969,"['RSI從超賣區反轉', 'MACD為正', 'MACD柱狀圖為正', 'SAR翻多且趨勢向上', '價格在20日均線之上', '短期和中期動量均為正', 'ADX趨勢不明', '均線多頭排列', '成交量配合良好', '相對強度強勁', '支撐位良好', '趨勢反轉初步確認', '反轉可信度高', '短期動能未轉折', '價格結構反轉', '良好進場時機', '接近近期低點', '測試關鍵支撐位', 'MACD強勢多頭', '均線黃金交叉', '強勢長紅K', '錘子線形態', '錘子線形態', '接近關鍵支撐位', '上升底部結構', '成交量短期放大', '多時間框架強烈看多，建議積極進場', '月線趨勢良好，適合中長期持有', '週線支持上漲，中期看好', '日線短期強勢，進場時機良好', '多時間框架高度一致', '單一多頭訊號', 'RSI+MACD同步', '接近抄底價位']",40.348779606734425,1.8307073687838908,1.105339741485501,235.93199920654297,55,強烈推薦進場,強烈推薦進場,78.0,高,3.0,2026-01-27,244.67999267578125,"['MACD柱狀圖轉正+RSI未超買', '動量轉正', '均線多頭排列', '指標斜率向上', '相對強度為正', '反轉可信度高', '價格結構反轉']",2026-01-30,1.4275316008602874,-2.198786081848676,60.0,55.0,80.0,0.0,55.0,215.0,210.0,2026-03-04,10.15,23.85,,,False,,91.42174051974192
XLU,State Street Utilities Select Sector SPDR ETF,US,43.25,42.51678930234909,"['RSI偏高', 'MACD為正', 'MACD柱狀圖為正', 'SAR翻多且趨勢向上', '價格在20日均線之上', '價格在5日均線之上', 'ADX趨勢不明', '均線多頭排列', '成交量配合良好', '動量強勁加速', '所有指標斜率向上', '相對強度為正', '上漲動能良好', '波動率低', '支撐位可靠', '趨勢反轉初步確認', '反轉可信度高', '短期動能未轉折', '價格結構完美反轉', '低波動風險', '良好進場時機', '接近近期低點', '測試關鍵支撐位', '錘子線形態', 'MACD強勢多頭', '完美多頭排列', '錘子線形態', '接近關鍵支撐位', '上升底部結構', '接近突破阻力', '成交量多頭排列', '多時間框架中性偏多，謹慎進場', '月線趨勢良好，適合中長期持有', '日線短期強勢，進場時機良好', '多重多頭訊號確認', '接近抄底價位']",61.144591810588985,0.0739466062572518,1.1314916734091454,42.8341313680013,100,強烈推薦進場,強烈推薦進場,63.60000000000001,高,1.0,2026-01-29,43.33000183105469,"['均線多頭排列', '動量加速', '指標斜率向上', '相對強度為正', '上漲動能延續', '反轉可信度高', '價格結構反轉']",2026-01-30,0.9708814413110004,-0.18463380492485937,55.0,50.0,80.0,20.0,85.0,41.0,36.0,2026-03-04,5.2,1.91,,,False,,91.17873556760671
TMUS,"T-Mobile US, Inc.",US,197.2100067138672,181.57800064086913,"['RSI從超賣區反轉', 'MACD柱狀圖為正', 'SAR翻多且趨勢向上', 'OBV突破均線且斜率為正', '成交量放大', '價格在20日均線之上', '價格在5日均線之上', '接近布林通道上軌', '短期和中期動量均為正', 'ADX趨勢不明', '均線排列不佳', '成交量配合良好', '動量強勁加速', '所有指標斜率向上', '上漲動能極強', '趨勢反轉初步確認', '反轉強度強勁', '短期動能轉折', '價格結構反轉', '良好進場時機', '放量上漲', 'MACD柱狀圖轉正', '測試關鍵支撐位', 'RSI健康上升', 'MACD強勢多頭', '強勢長紅K', '強勢長紅K', '接近關鍵支撐位', '上升底部結構', '接近突破阻力', '明顯放量', '價漲量增完美配合', '成交量多頭排列', '多時間框架偏空，建議觀望', '月線趨勢不佳，避免長期持有', '週線壓力較大，中期謹慎', '日線短期強勢，進場時機良好', '多重多頭訊號確認', '成交量確認', '接近抄底價位']",46.03175750783996,-2.8759176494078247,1.7897191703096456,196.11000061035156,70,建議進場,建議進場,79.65,高,1.0,2026-01-29,189.27999877929688,"['動量加速', '指標斜率向上', '上漲動能延續', '短期動能轉折', '價格結構反轉']",2026-01-30,0.5609128040855055,4.189564658554764,55.0,65.0,55.0,70.0,70.0,181.5,176.5,2026-03-04,7.97,15.4,,,False,,90.51172615877437
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,US,110.56999969482422,109.93616692154109,"['RSI從超賣區反轉', 'MACD為正', 'SAR翻多且趨勢向上', 'OBV突破均線', '成交量適中', '短期和中期動量均為負', 'ADX趨勢不明', '均線完美多頭排列', '成交量配合不佳', '動量加速', '指標斜率向下', '相對強度為正', '上漲動能不足', '波動率低', '支撐位可靠', '趨勢反轉初步確認', '反轉強度不足', '反轉可信度高', '短期動能未轉折', '價格結構完美反轉', '低波動風險', '良好進場時機', '接近近期低點', '動量加速向上', '測試關鍵支撐位', '均線黃金交叉', '布林通道理想位置', '錘子線形態', '錘子線形態', '接近關鍵支撐位', '底部抬升', '接近突破阻力', '溫和放量', '成交量多頭排列', '多時間框架強烈看多，建議積極進場', '月線趨勢良好，適合中長期持有', '週線支持上漲，中期看好', '日線短期強勢，進場時機良好', '多時間框架高度一致', '多重多頭訊號確認', 'RSI+MACD同步', '接近抄底價位']",48.91640940001559,0.08776118345831208,1.227568549212671,110.52632166544596,100,建議進場,建議進場,66.0,高,1.0,2026-01-29,110.68000030517578,"['OBV突破均線', '均線多頭排列', '動量加速', '相對強度為正', '反轉可信度高', '價格結構反轉']",2026-01-30,0.03951821495558853,-0.09938616737284062,45.0,25.0,80.0,0.0,85.0,108.5,103.5,2026-03-04,1.87,2.05,,,False,,87.93814453551333
